0 $F,0,"00:00:00","11:49:52","00:00:00","      "
1012 $F,0,"00:00:00","11:49:53","00:00:00","      "
1998 $F,0,"00:00:00","11:49:54","00:00:00","      "
3036 $I,"11:49:55","20 Apr 18"
3037 $I,"11:49:55","20 Apr 18"
3038 $I,"11:49:55","20 Apr 18"
3039 $F,9999,"00:00:00","11:49:55","00:00:00","      "
3040 $B,78,"Juniors men 200 Dobbin 1"
3041 $E,"TRACKNAME","Arena Geisingen"
3041 $E,"TRACKLENGTH","0.200"
3041 $B,78,"Juniors men 200 Dobbin 1"
3042 $E,"TRACKNAME","Arena Geisingen"
3042 $E,"TRACKLENGTH","0.200"
3044 $C,1,"Juniors men"
3129 $A,"797","797",FT-59104,"Robin","Soleansky (FRA)","FRA",1
3129 $COMP,"797","797",1,"Robin","Soleansky (FRA)","FRA",""
3129 $A,"798","798",PK-66839,"Duarte","Souza (POR)","POR",1
3130 $COMP,"798","798",1,"Duarte","Souza (POR)","POR",""
3130 $A,"799","799",FL-39852,"Jason","Suttels (BEL)","BEL",1
3130 $COMP,"799","799",1,"Jason","Suttels (BEL)","BEL",""
3130 $A,"800","800",FF-26886,"Omero","Tafi (ITA)","ITA",1
3131 $COMP,"800","800",1,"Omero","Tafi (ITA)","ITA",""
3131 $A,"801","801",NL-82550,"Sabian","Tinson (USA)","USA",1
3131 $COMP,"801","801",1,"Sabian","Tinson (USA)","USA",""
3132 $A,"802","802",HR-49399,"Nils","Vaehae-Vahe (FIN)","FIN",1
3132 $COMP,"802","802",1,"Nils","Vaehae-Vahe (FIN)","FIN",""
3132 $A,"803","803",SL-83898,"Jordy","Van Workum (NED)","NED",1
3132 $COMP,"803","803",1,"Jordy","Van Workum (NED)","NED",""
3133 $A,"804","804",FF-08318,"Jani","Virtanen (FIN)","FIN",1
3133 $COMP,"804","804",1,"Jani","Virtanen (FIN)","FIN",""
3133 $A,"805","805",PF-75129,"Harm","Visser (NED)","NED",1
3133 $COMP,"805","805",1,"Harm","Visser (NED)","NED",""
3134 $A,"806","806",GX-98941,"Adrion","Workman (USA)","USA",1
3134 $COMP,"806","806",1,"Adrion","Workman (USA)","USA",""
3134 $A,"807","807",GG-75486,"Thijs","Kalthof (NED)","NED",1
3134 $COMP,"807","807",1,"Thijs","Kalthof (NED)","NED",""
3135 $G,1,"780",,"00:00:00"
3136 $G,2,"785",,"00:00:00"
3136 $G,3,"757",,"00:00:00"
3136 $G,4,"807",,"00:00:00"
3137 $G,5,"741",,"00:00:00"
3137 $G,6,"761",,"00:00:00"
3137 $G,7,"746",,"00:00:00"
3138 $G,8,"804",,"00:00:00"
3138 $G,9,"782",,"00:00:00"
3138 $G,10,"797",,"00:00:00"
3139 $G,11,"754",,"00:00:00"
3139 $G,12,"762",,"00:00:00"
3139 $G,13,"800",,"00:00:00"
3139 $G,14,"717",,"00:00:00"
3140 $G,15,"723",,"00:00:00"
3140 $G,16,"728",,"00:00:00"
3140 $G,17,"729",,"00:00:00"
3141 $G,18,"764",,"00:00:00"
3141 $G,19,"733",,"00:00:00"
3141 $G,20,"766",,"00:00:00"
3142 $G,21,"795",,"00:00:00"
3142 $G,22,"714",,"00:00:00"
3142 $G,23,"765",,"00:00:00"
3142 $G,24,"743",,"00:00:00"
3143 $G,25,"759",,"00:00:00"
3143 $G,26,"730",,"00:00:00"
3143 $G,27,"726",,"00:00:00"
3144 $G,28,"793",,"00:00:00"
3144 $G,29,"736",,"00:00:00"
3144 $G,30,"771",,"00:00:00"
3144 $G,31,"776",,"00:00:00"
3145 $G,32,"784",,"00:00:00"
3145 $G,33,"744",,"00:00:00"
3145 $G,34,"783",,"00:00:00"
3146 $G,35,"727",,"00:00:00"
3146 $G,36,"737",,"00:00:00"
3146 $G,37,"756",,"00:00:00"
3146 $G,38,"731",,"00:00:00"
3147 $G,39,"799",,"00:00:00"
3147 $G,40,"769",,"00:00:00"
3147 $G,41,"739",,"00:00:00"
3148 $G,42,"787",,"00:00:00"
3148 $G,43,"768",,"00:00:00"
3148 $G,44,"802",,"00:00:00"
3149 $G,45,"745",,"00:00:00"
3149 $G,46,"773",,"00:00:00"
3149 $G,47,"772",,"00:00:00"
3150 $G,48,"738",,"00:00:00"
3150 $G,49,"722",,"00:00:00"
3150 $G,50,"758",,"00:00:00"
3151 $G,51,"767",,"00:00:00"
3151 $G,52,"740",,"00:00:00"
3151 $G,53,"732",,"00:00:00"
3151 $G,54,"718",,"00:00:00"
3152 $G,55,"803",,"00:00:00"
3152 $G,56,"794",,"00:00:00"
3152 $G,57,"801",,"00:00:00"
3153 $G,58,"798",,"00:00:00"
3153 $G,59,"786",,"00:00:00"
3154 $G,60,"716",,"00:00:00"
3154 $G,61,"789",,"00:00:00"
3154 $G,62,"791",,"00:00:00"
3155 $G,63,"770",,"00:00:00"
3155 $G,64,"806",,"00:00:00"
3155 $G,65,"781",,"00:00:00"
3156 $G,66,"725",,"00:00:00"
3156 $G,67,"735",,"00:00:00"
3156 $G,68,"753",,"00:00:00"
3156 $G,69,"749",,"00:00:00"
3157 $G,70,"724",,"00:00:00"
3157 $G,71,"792",,"00:00:00"
3157 $G,72,"751",,"00:00:00"
3158 $G,73,"775",,"00:00:00"
3158 $G,74,"715",,"00:00:00"
3158 $G,75,"777",,"00:00:00"
3159 $G,76,"779",,"00:00:00"
3159 $G,77,"790",,"00:00:00"
3159 $G,78,"750",,"00:00:00"
3160 $G,79,"774",,"00:00:00"
3160 $G,80,"747",,"00:00:00"
3160 $G,81,"760",,"00:00:00"
3160 $G,82,"763",,"00:00:00"
3161 $G,83,"721",,"00:00:00"
3161 $G,84,"796",,"00:00:00"
3161 $G,85,"720",,"00:00:00"
3162 $G,86,"752",,"00:00:00"
3162 $G,87,"734",,"00:00:00"
3162 $G,88,"805",,"00:00:00"
3163 $G,89,"788",,"00:00:00"
3163 $G,90,"755",,"00:00:00"
3163 $G,91,"778",,"00:00:00"
3164 $H,1,"714",0,"00:00:00"
3164 $H,2,"715",0,"00:00:00"
3164 $H,3,"716",0,"00:00:00"
3165 $H,4,"717",0,"00:00:00"
3165 $H,5,"718",0,"00:00:00"
3165 $H,6,"720",0,"00:00:00"
3165 $H,7,"721",0,"00:00:00"
3166 $H,8,"722",0,"00:00:00"
3166 $H,9,"723",0,"00:00:00"
3166 $H,10,"724",0,"00:00:00"
3167 $H,11,"725",0,"00:00:00"
3167 $H,12,"726",0,"00:00:00"
3170 $H,13,"727",0,"00:00:00"
3170 $H,14,"728",0,"00:00:00"
3170 $H,15,"729",0,"00:00:00"
3171 $H,16,"730",0,"00:00:00"
3171 $H,17,"731",0,"00:00:00"
3171 $H,18,"732",0,"00:00:00"
3172 $H,19,"733",0,"00:00:00"
3172 $H,20,"734",0,"00:00:00"
3172 $H,21,"735",0,"00:00:00"
3173 $H,22,"736",0,"00:00:00"
3173 $H,23,"737",0,"00:00:00"
3173 $H,24,"738",0,"00:00:00"
3173 $H,25,"739",0,"00:00:00"
3174 $H,26,"740",0,"00:00:00"
3174 $H,27,"741",0,"00:00:00"
3175 $H,28,"743",0,"00:00:00"
3175 $H,29,"744",0,"00:00:00"
3175 $H,30,"745",0,"00:00:00"
3175 $H,31,"746",0,"00:00:00"
3176 $H,32,"747",0,"00:00:00"
3176 $H,33,"749",0,"00:00:00"
3176 $H,34,"750",0,"00:00:00"
3177 $H,35,"751",0,"00:00:00"
3177 $H,36,"752",0,"00:00:00"
3177 $H,37,"753",0,"00:00:00"
3177 $H,38,"754",0,"00:00:00"
3178 $H,39,"755",0,"00:00:00"
3178 $H,40,"756",0,"00:00:00"
3178 $H,41,"757",0,"00:00:00"
3178 $H,42,"758",0,"00:00:00"
3179 $H,43,"759",0,"00:00:00"
3179 $H,44,"760",0,"00:00:00"
3179 $H,45,"761",0,"00:00:00"
3179 $H,46,"762",0,"00:00:00"
3180 $H,47,"763",0,"00:00:00"
3180 $H,48,"764",0,"00:00:00"
3180 $H,49,"765",0,"00:00:00"
3181 $H,50,"766",0,"00:00:00"
3181 $H,51,"767",0,"00:00:00"
3181 $H,52,"768",0,"00:00:00"
3181 $H,53,"769",0,"00:00:00"
3182 $H,54,"770",0,"00:00:00"
3182 $H,55,"771",0,"00:00:00"
3182 $H,56,"772",0,"00:00:00"
3183 $H,57,"773",0,"00:00:00"
3183 $H,58,"774",0,"00:00:00"
3183 $H,59,"775",0,"00:00:00"
3183 $H,60,"776",0,"00:00:00"
3184 $H,61,"777",0,"00:00:00"
3184 $H,62,"778",0,"00:00:00"
3184 $H,63,"779",0,"00:00:00"
3185 $H,64,"780",0,"00:00:00"
3185 $H,65,"781",0,"00:00:00"
3185 $H,66,"782",0,"00:00:00"
3186 $H,67,"783",0,"00:00:00"
3186 $H,68,"784",0,"00:00:00"
3186 $H,69,"785",0,"00:00:00"
3187 $H,70,"786",0,"00:00:00"
3187 $H,71,"787",0,"00:00:00"
3187 $H,72,"788",0,"00:00:00"
3187 $H,73,"789",0,"00:00:00"
3188 $H,74,"790",0,"00:00:00"
3188 $H,75,"791",0,"00:00:00"
3188 $H,76,"792",0,"00:00:00"
3189 $H,77,"793",0,"00:00:00"
3189 $H,78,"794",0,"00:00:00"
3189 $H,79,"795",0,"00:00:00"
3190 $H,80,"796",0,"00:00:00"
3190 $H,81,"797",0,"00:00:00"
3190 $H,82,"798",0,"00:00:00"
3190 $H,83,"799",0,"00:00:00"
3191 $H,84,"800",0,"00:00:00"
3191 $H,85,"801",0,"00:00:00"
3191 $H,86,"802",0,"00:00:00"
3191 $H,87,"803",0,"00:00:00"
3192 $H,88,"804",0,"00:00:00"
3192 $H,89,"805",0,"00:00:00"
3192 $H,90,"806",0,"00:00:00"
3193 $H,91,"807",0,"00:00:00"
3193 $SP,1,"714",0,"00:00:00",0
3193 $SP,2,"715",0,"00:00:00",0
3194 $SP,3,"716",0,"00:00:00",0
3194 $SP,4,"717",0,"00:00:00",0
3194 $SP,5,"718",0,"00:00:00",0
3194 $SP,6,"720",0,"00:00:00",0
3195 $SP,7,"721",0,"00:00:00",0
3195 $SP,8,"722",0,"00:00:00",0
3195 $SP,9,"723",0,"00:00:00",0
3196 $SP,10,"724",0,"00:00:00",0
3196 $SP,11,"725",0,"00:00:00",0
3196 $SP,12,"726",0,"00:00:00",0
3196 $SP,13,"727",0,"00:00:00",0
3197 $SP,14,"728",0,"00:00:00",0
3197 $SP,15,"729",0,"00:00:00",0
3198 $SP,16,"730",0,"00:00:00",0
3198 $SP,17,"731",0,"00:00:00",0
3198 $SP,18,"732",0,"00:00:00",0
3198 $SP,19,"733",0,"00:00:00",0
3199 $SP,20,"734",0,"00:00:00",0
3199 $SP,21,"735",0,"00:00:00",0
3199 $SP,22,"736",0,"00:00:00",0
3200 $SP,23,"737",0,"00:00:00",0
3200 $SP,24,"738",0,"00:00:00",0
3200 $SP,25,"739",0,"00:00:00",0
3201 $SP,26,"740",0,"00:00:00",0
3201 $SP,27,"741",0,"00:00:00",0
3201 $SP,28,"743",0,"00:00:00",0
3201 $SP,29,"744",0,"00:00:00",0
3202 $SP,30,"745",0,"00:00:00",0
3202 $SP,31,"746",0,"00:00:00",0
3202 $SP,32,"747",0,"00:00:00",0
3203 $SP,33,"749",0,"00:00:00",0
3203 $SP,34,"750",0,"00:00:00",0
3203 $SP,35,"751",0,"00:00:00",0
3204 $SP,36,"752",0,"00:00:00",0
3204 $SP,37,"753",0,"00:00:00",0
3204 $SP,38,"754",0,"00:00:00",0
3204 $SP,39,"755",0,"00:00:00",0
3205 $SP,40,"756",0,"00:00:00",0
3205 $SP,41,"757",0,"00:00:00",0
3205 $SP,42,"758",0,"00:00:00",0
3206 $SP,43,"759",0,"00:00:00",0
3206 $SP,44,"760",0,"00:00:00",0
3206 $SP,45,"761",0,"00:00:00",0
3206 $SP,46,"762",0,"00:00:00",0
3208 $SP,47,"763",0,"00:00:00",0
3208 $SP,48,"764",0,"00:00:00",0
3209 $SP,49,"765",0,"00:00:00",0
3209 $SP,50,"766",0,"00:00:00",0
3209 $SP,51,"767",0,"00:00:00",0
3210 $SP,52,"768",0,"00:00:00",0
3210 $SP,53,"769",0,"00:00:00",0
3210 $SP,54,"770",0,"00:00:00",0
3210 $SP,55,"771",0,"00:00:00",0
3211 $SP,56,"772",0,"00:00:00",0
3211 $SP,57,"773",0,"00:00:00",0
3211 $SP,58,"774",0,"00:00:00",0
